 31 3900.016980 1.135E-25 2.043E-03.07020.089  699.63370.810.000000          0 0 4          0 0 0 33  7 27       34  8 26      456550 214 6 2 4 0    67.0   69.0
 31 3900.137700 8.411E-26 3.610E-02.07340.101 1287.76800.790.000000          0 0 5          0 0 1 24  3 22       23  2 21      3565503652 6 2 4 0    49.0   47.0
 31 3900.148400 4.395E-26 7.300E-02.07260.080 1597.29880.760.000000          1 1 3          0 1 0 28 13 16       29 13 17      3352501826 5 2 3 0    57.0   59.0
 31 3900.161770 9.904E-26 2.307E-03.06960.088  775.87720.820.000000          0 0 4          0 0 0 37  6 32       38  7 31      456550 214 6 2 4 0    75.0   77.0
 31 3900.251100 3.714E-26 1.255E-02.07940.104 1130.58140.770.000000          0 0 5          0 0 1 14  3 12       13  2 11      3565503652 6 2 4 0    29.0   27.0
 31 3900.256200 1.503E-25 5.024E-02.06730.095 1323.89300.820.000000          3 2 0          0 1 0 37  2 36       38  1 37      3465501826 6 2 4 0    75.0   77.0
 31 3900.277700 1.093E-26 8.419E-03.07600.095 1350.26120.780.000000          3 1 1          0 0 1 18  8 11       19  7 12      3565503652 6 2 4 0    37.0   39.0
 31 3900.336800 7.587E-26 8.027E-02.07180.082 1525.08440.770.000000          1 1 3          0 1 0 31 11 20       32 11 21      3455501826 5 2 3 0    63.0   65.0
 31 3900.391100 2.052E-26 5.901E-02.07410.081 1679.07600.740.000000          1 1 3          0 1 0 24 15 10       25 15 11      3352501826 5 2 3 0    49.0   51.0
 31 3900.450400 3.155E-26 6.724E-02.07330.081 1633.57770.750.000000          1 1 3          0 1 0 26 14 13       27 14 14      3352501826 5 2 3 0    53.0   55.0
 31 3900.545600 1.744E-25 8.849E-02.07070.091 1404.18970.810.000000          1 1 3          0 1 0 36  6 31       37  6 32      3455501826 5 2 3 0    73.0   75.0
 31 3900.545740 1.462E-25 1.549E-03.08020.091  387.75510.770.000000          3 1 0          0 0 0 12  9  3       13 10  4      456550 214 6 2 4 0    25.0   27.0
 31 3900.589400 3.087E-26 1.770E-02.06650.092 1455.73310.830.000000          3 2 0          0 1 0 41  2 40       42  1 41      3365501826 6 2 4 0    83.0   85.0
 31 3900.599600 7.569E-26 2.937E-02.07440.101 1249.44410.790.000000          0 0 5          0 0 1 22  3 20       21  2 19      3565503652 6 2 4 0    45.0   43.0
 31 3900.655700 3.004E-26 1.030E-02.08020.104 1118.94960.770.000000          0 0 5          0 0 1 13  3 10       12  2 11      3565503652 6 2 4 0    27.0   25.0
 31 3900.664000 3.719E-26 3.539E-03.06980.101  986.06090.790.000000          0 1 4          0 1 0 25  1 25       26  0 26      3465501826 6 2 4 0    51.0   53.0
 31 3900.693500 4.701E-26 1.573E-02.07800.103 1155.09900.780.000000          0 0 5          0 0 1 16  3 14       15  2 13      3565503652 6 2 4 0    33.0   31.0
 31 3900.814620 1.394E-25 1.099E-03.07660.092  396.14530.780.000000          3 1 0          0 0 0 17  8 10       18  9  9      456550 214 6 2 4 0    35.0   37.0
 31 3900.842400 1.949E-25 7.217E-02.07060.095 1344.91070.810.000000          1 1 3          0 1 0 37  2 35       38  2 36      3455501826 5 2 3 0    75.0   77.0
 31 3900.855900 1.779E-25 7.666E-02.07060.093 1376.08500.810.000000          1 1 3          0 1 0 37  4 33       38  4 34      3455501826 5 2 3 0    75.0   77.0
 31 3900.859200 6.650E-26 2.391E-02.07540.102 1214.54170.780.000000          0 0 5          0 0 1 20  3 18       19  2 17      3565503652 6 2 4 0    41.0   39.0
 31 3900.882600 1.063E-26 1.190E-02.07390.091 1467.40870.790.000000          3 1 1          0 0 1 22  9 14       23  8 15      3565503652 6 2 4 0    45.0   47.0
 31 3900.898000 5.697E-26 1.947E-02.07660.103 1183.08750.780.000000          0 0 5          0 0 1 18  3 16       17  2 15      3565503952 6 2 4 0    37.0   35.0
 31 3900.923800 9.681E-26 8.244E-02.07150.084 1486.77620.780.000000          1 1 3          0 1 0 32 10 23       33 10 24      3455501826 5 2 3 0    65.0   67.0
 31 3901.054700 1.595E-25 8.732E-02.07090.090 1414.04640.800.000000          1 1 3          0 1 0 35  7 28       36  7 29      3455501826 5 2 3 0    71.0   73.0
 31 3901.082590 1.192E-25 1.696E-03.07140.089  617.92710.800.000000          0 0 4          0 0 0 28  8 20       29  9 21      456550 214 6 2 4 0    57.0   59.0
 31 3901.163100 1.854E-25 5.429E-02.06650.095 1296.59930.820.000000          3 2 0          0 1 0 37  1 37       38  0 38      3465501826 6 2 4 0    75.0   77.0
 31 3901.168830 1.048E-25 1.387E-03.07340.088  563.34820.790.000000          0 0 4          0 0 0 23  9 15       24 10 14      456550 214 6 2 4 0    47.0   49.0
 31 3901.208000 4.902E-26 2.444E-02.06660.093 1421.88240.830.000000          3 2 0          0 1 0 40  1 39       41  2 40      3365501826 6 2 4 0    81.0   83.0
 31 3901.228500 2.268E-25 9.013E-02.07060.094 1359.40660.810.000000          1 1 3          0 1 0 37  3 34       38  3 35      3455501826 5 2 3 0    75.0   77.0
 31 3901.240500 1.190E-25 8.443E-02.07130.086 1455.44870.780.000000          1 1 3          0 1 0 33  9 24       34  9 25      3455501826 5 2 3 0    67.0   69.0
 31 3901.246600 1.088E-25 3.223E-02.06760.095 1293.39940.820.000000          3 2 0          0 1 0 36  1 35       37  2 36      3465501826 6 2 4 0    73.0   75.0
 31 3901.285000 1.406E-25 8.609E-02.07110.088 1431.17530.790.000000          1 1 3          0 1 0 34  8 27       35  8 28      3455501826 5 2 3 0    69.0   71.0
