 21  769.791493 3.597E-26 1.202E+00.06500.068 3551.58980.69-.000840       2 0 0 01       1 1 1 01                    R 61e     4777742029 5 4 5 7   125.0  123.0
 21  769.801208 1.067E-25 5.123E-01.06910.092 2990.80300.74-.000704       1 3 3 01       0 4 4 01                    Q 28e     4677642029 5 4 5 7    57.0   57.0
 21  769.806669 1.720E-24 1.855E-01.07570.103 2097.40870.69-.000547       1 2 2 01       0 3 3 01                    R 15e     4677642029 5 4 5 7    33.0   31.0
 21  769.812240 3.538E-27 4.275E-01.07320.100 3576.33740.70-.000619       2 2 2 01       1 3 3 01                    R 18f     3677642029 5 4 5 7    39.0   37.0
 21  769.832130 6.987E-29 1.354E-01.06840.087 4258.58790.76-.000730       3 1 1 03       3 0 0 04                    P 34e     3677642029 5 4 5 7    67.0   69.0
 21  769.849187 1.144E-25 5.115E-01.06940.093 2968.80300.74-.000709       1 3 3 01       0 4 4 01                    Q 27f     4677642029 5 4 5 7    55.0   55.0
 21  769.858159 2.162E-30 7.236E-03.07050.096 4297.99460.73-.001338       2 0 0 13       3 0 0 02                    P 24e     3677542029 5 4 5 7    47.0   49.0
 21  769.895602 1.219E-25 5.103E-01.06960.094 2947.58790.74-.000695       1 3 3 01       0 4 4 01                    Q 26e     4677542029 5 4 5 7    53.0   53.0
 21  769.909225 9.572E-26 1.887E-01.07190.099 2749.61380.71-.000649       2 1 1 02       1 2 2 02                    R 20e     4677642029 5 4 5 7    43.0   41.0
 21  769.940238 1.293E-25 5.094E-01.07000.095 2927.15770.73-.000690       1 3 3 01       0 4 4 01                    Q 25f     4677542029 5 4 5 7    51.0   51.0
 21  769.969131 3.282E-26 5.533E-01.06800.083 3310.98750.76-.000719       2 1 1 01       1 2 2 01                    R 37f     4677642029 5 4 5 7    77.0   75.0
 21  769.982837 3.007E-29 2.535E-01.06680.073 4649.40090.73-.000772       1 1 1 11       0 2 2 11                    R 50f     3677742029 5 4 5 7   103.0  101.0
 21  769.983262 1.363E-25 5.080E-01.07030.096 2907.51250.73-.000678       1 3 3 01       0 4 4 01                    Q 24e     4677642029 5 4 5 7    49.0   49.0
 21  769.984222 4.157E-26 9.864E-02.06980.095 2822.83670.73-.000715       2 1 1 02       2 0 0 03                    P 26e     4677542029 5 4 5 7    51.0   53.0
 21  770.019607 5.812E-29 8.446E-01.06820.085 4690.58110.76-.000698       3 1 1 01       2 2 2 01                    R 35f     3677642029 5 4 5 7    73.0   71.0
 21  770.024535 1.429E-25 5.067E-01.07070.097 2888.65230.72-.000681       1 3 3 01       0 4 4 01                    Q 23f     4677542029 5 4 5 7    47.0   47.0
 21  770.035237 9.551E-30 1.064E+00.08090.108 4853.30810.70-.000608       2 4 4 01       1 5 5 01                    P 11e     3677742029 5 4 5 7    21.0   23.0
 21  770.064158 1.490E-25 5.054E-01.07120.098 2870.57740.72-.000671       1 3 3 01       0 4 4 01                    Q 22e     4677642029 5 4 5 7    45.0   45.0
 21  770.091955 2.610E-26 6.370E-01.06780.080 3402.47950.75-.000724       2 1 1 01       1 2 2 01                    R 40e     4677642029 5 4 5 7    83.0   81.0
 21  770.102049 1.544E-25 5.040E-01.07170.098 2853.28780.71-.000672       1 3 3 01       0 4 4 01                    Q 21f     4677642029 5 4 5 7    43.0   43.0
 21  770.125411 1.566E-30 3.201E-01.06810.084 5234.42970.76-.000721       1 6 6 01       0 7 7 01                    P 37e     3677642029 5 4 5 7    73.0   75.0
 21  770.138265 1.590E-25 5.024E-01.07230.099 2836.78370.71-.000666       1 3 3 01       0 4 4 01                    Q 20e     4677642029 5 4 5 7    41.0   41.0
 21  770.145497 1.399E-29 2.205E-01.06870.090 4676.91360.75-.000719       1 2 2 11       0 3 3 11                    R 30e     3677642029 5 4 5 7    63.0   61.0
 21  770.172757 1.626E-25 5.004E-01.07290.100 2821.06490.70-.000651       1 3 3 01       0 4 4 01                    Q 19f     4677642029 5 4 5 7    39.0   39.0
 21  770.174522 1.278E-30 1.667E+00.05440.060 5854.46090.66-.001340       0 2 2 01       0 1 1 01                    R115e     4777542029 5 4 5 7   233.0  231.0
 21  770.181611 5.506E-29 1.479E-05.06810.084 2453.92460.76-.000713       0 4 4 01       1 1 1 02                    R 36f     3677642029 5 4 5 7    75.0   73.0
 21  770.205555 1.652E-25 4.984E-01.07360.101 2806.13160.69-.000642       1 3 3 01       0 4 4 01                    Q 18e     4677642029 5 4 5 7    37.0   37.0
 21  770.232960 4.842E-30 6.821E-01.07250.100 5039.10110.70-.000637       3 2 2 01       2 3 3 01                    R 19e     3677642029 5 4 5 7    41.0   39.0
 21  770.236633 1.665E-25 4.958E-01.07440.102 2791.98410.69-.000636       1 3 3 01       0 4 4 01                    Q 17f     4677642029 5 4 5 7    35.0   35.0
 21  770.237975 7.147E-27 2.543E-01.07980.107 3233.07570.69-.000527       3 0 0 03       2 1 1 03                    R 11e     3677742029 5 4 5 7    25.0   23.0
 21  770.266008 1.666E-25 4.931E-01.07520.102 2778.62210.69-.000624       1 3 3 01       0 4 4 01                    Q 16e     4677642029 5 4 5 7    33.0   33.0
