wavelength_nm	spectrum_W_m2
708.0	0.122168496
709.0	0.12299772
710.0	0.12342955
711.0	0.12374001
712.0	0.12390518
713.0	0.12294635
714.0	0.123690255
715.0	0.12027229
716.0	0.12077189
717.0	0.1052759
718.0	0.096512295
719.0	0.08930808
720.0	0.094023824
721.0	0.104121976
722.0	0.11919115
723.0	0.111376934
724.0	0.10081235
725.0	0.09930604
726.0	0.104577325
727.0	0.106297575
728.0	0.10011937
729.0	0.10429702
730.0	0.11074569
731.0	0.1061408
732.0	0.11379747
733.0	0.12096572
734.0	0.12429641
735.0	0.12192631
736.0	0.12201871
737.0	0.122733995
738.0	0.12472235
739.0	0.12244791
740.0	0.12596361
741.0	0.12501329
742.0	0.12542066
743.0	0.12884606
744.0	0.12871788
745.0	0.12894642
746.0	0.12975672
747.0	0.13040201
748.0	0.13046525
749.0	0.12923443
750.0	0.12938987
751.0	0.12805769
752.0	0.12860128
753.0	0.12950112
754.0	0.13003078
755.0	0.12930639
756.0	0.12926151
757.0	0.12971866
758.0	0.1283978
759.0	0.12646204
760.0	0.036066722
761.0	0.022978898
762.0	0.07849072
763.0	0.048494633
764.0	0.064445935
765.0	0.07869389
766.0	0.089951605
767.0	0.10701171
768.0	0.1185325
769.0	0.1197144
770.0	0.12234552
771.0	0.122799814
772.0	0.122890756
773.0	0.12370585
774.0	0.12306728
775.0	0.12209961
776.0	0.12356441
777.0	0.12192077
778.0	0.1211766
779.0	0.121046126
780.0	0.12013235
781.0	0.12025188
782.0	0.12099011
783.0	0.11864309
784.0	0.11897399
785.0	0.11804936
786.0	0.119332194
787.0	0.11702482
788.0	0.115312144
789.0	0.11511627
790.0	0.11213279
791.0	0.11282808
792.0	0.11183296
793.0	0.109819025
794.0	0.11157154
795.0	0.11322113
796.0	0.109498344
797.0	0.10962687
798.0	0.11281227
799.0	0.11186627
800.0	0.109669484
801.0	0.10921276
802.0	0.10872409
803.0	0.107723735
804.0	0.107708886
805.0	0.107220314
806.0	0.11001119
807.0	0.10852721
808.0	0.108472496
809.0	0.10628879
810.0	0.10506135
811.0	0.10519564
812.0	0.10199326
813.0	0.099698834
814.0	0.08752045
815.0	0.08683274
816.0	0.080515966
817.0	0.08207923
818.0	0.07897664
