wavelength_nm,quantum_efficiency
399.554565701559,32.007648183556405
400.0,32.007648183556405
400.445434298441,32.007648183556405
400.89086859688194,32.237093690248564
401.33630289532294,32.237093690248564
401.78173719376395,32.237093690248564
402.2271714922049,32.237093690248564
402.6726057906459,32.69598470363289
403.11804008908683,32.69598470363289
403.56347438752783,32.69598470363289
404.00890868596883,33.040152963671126
404.4543429844098,33.040152963671126
404.8997772828508,33.040152963671126
405.3452115812918,33.040152963671126
405.7906458797327,33.49904397705545
406.2360801781737,33.49904397705545
406.6815144766147,33.49904397705545
407.12694877505567,33.84321223709369
407.57238307349667,33.84321223709369
408.01781737193767,33.84321223709369
408.4632516703786,33.84321223709369
408.9086859688196,34.30210325047801
409.35412026726056,34.30210325047801
409.79955456570156,34.30210325047801
410.24498886414256,34.76099426386233
410.6904231625835,34.76099426386233
411.1358574610245,34.76099426386233
411.5812917594655,34.76099426386233
412.02672605790644,35.33460803059273
412.47216035634744,35.33460803059273
412.91759465478845,35.33460803059273
413.3630289532294,35.67877629063098
413.8084632516704,35.67877629063098
414.25389755011133,35.67877629063098
414.69933184855233,35.67877629063098
415.14476614699333,36.137667304015295
415.5902004454343,36.137667304015295
416.0356347438753,36.137667304015295
416.4810690423163,36.48183556405354
416.9265033407572,36.48183556405354
417.3719376391982,36.48183556405354
417.8173719376392,36.48183556405354
418.26280623608017,36.94072657743786
418.70824053452117,36.94072657743786
419.1536748329621,36.94072657743786
419.5991091314031,37.2848948374761
420.0445434298441,37.2848948374761
420.48997772828506,37.2848948374761
420.93541202672606,37.2848948374761
421.38084632516706,37.74378585086042
421.826280623608,37.74378585086042
422.271714922049,37.74378585086042
422.71714922049,38.087954110898664
423.16258351893094,38.087954110898664
423.60801781737194,38.087954110898664
424.05345211581295,38.087954110898664
424.4988864142539,38.54684512428298
424.9443207126949,38.54684512428298
425.38975501113583,38.54684512428298
425.83518930957683,38.77629063097514
426.28062360801783,38.77629063097514
426.7260579064588,38.77629063097514
427.1714922048998,38.77629063097514
427.6169265033408,39.235181644359464
428.0623608017817,39.235181644359464
428.5077951002227,39.235181644359464
428.9532293986637,39.5793499043977
429.39866369710467,39.5793499043977
429.84409799554567,39.5793499043977
430.28953229398667,39.5793499043977
430.7349665924276,39.80879541108987
431.1804008908686,39.80879541108987
431.62583518930956,39.80879541108987
432.07126948775056,40.21032504780115
432.51670378619156,40.21032504780115
432.9621380846325,40.21032504780115
433.4075723830735,40.21032504780115
433.8530066815145,40.49713193116635
434.29844097995544,40.49713193116635
434.74387527839644,40.49713193116635
435.18930957683745,40.84130019120459
435.6347438752784,40.84130019120459
436.0801781737194,40.84130019120459
436.52561247216033,40.84130019120459
436.97104677060133,41.185468451242826
437.41648106904233,41.185468451242826
437.8619153674833,41.185468451242826
438.3073496659243,41.64435946462715
438.7527839643653,41.64435946462715
439.1982182628062,41.64435946462715
439.6436525612472,41.64435946462715
440.0890868596882,41.87380497131931
440.53452115812917,41.87380497131931
440.97995545657017,41.87380497131931
441.4253897550111,42.217973231357554
441.8708240534521,42.217973231357554
442.3162583518931,42.217973231357554
442.76169265033406,42.217973231357554
443.20712694877506,42.56214149139579
443.65256124721606,42.56214149139579
444.097995545657,42.56214149139579
444.543429844098,43.021032504780116
444.988864142539,43.021032504780116
445.43429844097994,43.021032504780116
445.87973273942094,43.021032504780116
446.3251670378619,43.250478011472275
446.7706013363029,43.250478011472275
447.2160356347439,43.250478011472275
447.6614699331849,43.59464627151051
448.10690423162583,43.59464627151051
448.55233853006683,43.59464627151051
448.9977728285078,43.59464627151051
449.4432071269488,43.9961759082218
449.8886414253898,43.9961759082218
450.3340757238307,43.9961759082218
450.7795100222717,44.397705544933075
451.22494432071267,44.397705544933075
451.67037861915367,44.397705544933075
452.11581291759467,44.397705544933075
452.56124721603567,44.74187380497132
453.0066815144766,44.74187380497132
453.4521158129176,44.74187380497132
453.89755011135856,44.97131931166348
454.34298440979956,44.97131931166348
454.78841870824056,44.97131931166348
455.2338530066815,44.97131931166348
455.6792873051225,45.4302103250478
456.1247216035635,45.4302103250478
456.57015590200444,45.4302103250478
457.01559020044544,45.77437858508604
457.46102449888645,45.77437858508604
457.9064587973274,45.77437858508604
458.3518930957684,45.77437858508604
458.79732739420933,46.118546845124285
459.24276169265033,46.118546845124285
459.68819599109133,46.118546845124285
460.1336302895323,46.40535372848949
460.5790645879733,46.40535372848949
461.0244988864143,46.40535372848949
461.4699331848552,46.40535372848949
461.9153674832962,46.80688336520076
462.3608017817372,46.80688336520076
462.80623608017817,46.80688336520076
463.25167037861917,47.151051625239006
463.6971046770601,47.151051625239006
464.1425389755011,47.151051625239006
464.5879732739421,47.151051625239006
465.0334075723831,47.380497131931165
465.47884187082406,47.380497131931165
465.92427616926506,47.380497131931165
466.369710467706,47.83938814531548
466.815144766147,47.83938814531548
467.260579064588,47.83938814531548
467.70601336302894,48.06883365200765
468.15144766146994,48.06883365200765
468.5968819599109,48.06883365200765
469.0423162583519,48.06883365200765
469.4877505567929,48.413001912045885
469.9331848552339,48.413001912045885
470.37861915367483,48.413001912045885
470.82405345211583,48.814531548757174
471.2694877505568,48.814531548757174
471.7149220489978,48.814531548757174
472.1603563474388,48.814531548757174
472.6057906458797,48.98661567877629
473.0512249443207,48.98661567877629
473.49665924276167,48.98661567877629
473.94209354120267,49.445506692160606
474.38752783964367,49.445506692160606
474.83296213808467,49.445506692160606
475.2783964365256,49.445506692160606
475.7238307349666,49.67495219885277
476.16926503340756,49.67495219885277
476.61469933184856,49.67495219885277
