0.3	0.18600000000000003
0.31	0.1775
0.32	0.16899999999999998
0.33	0.1645
0.34	0.16
0.35	0.1605
0.36	0.161
0.37	0.165
0.38	0.16899999999999998
0.39	0.1745
0.4	0.18
0.41	0.1855
0.42	0.191
0.43	0.198
0.44	0.205
0.45	0.2105
0.46	0.21600000000000003
0.47	0.2235
0.48	0.231
0.49	0.24
0.5	0.249
0.51	0.257
0.52	0.265
0.53	0.275
0.54	0.285
0.55	0.293
0.56	0.301
0.57	0.308
0.58	0.315
0.59	0.3215
0.6	0.32799999999999996
0.61	0.3302937000000001
0.62	0.3322984000000001
0.63	0.3311968000000001
0.64	0.3299328
0.65	0.32851
0.66	0.326932
0.67	0.32649975000000003
0.68	0.32586400000000004
0.69	0.3262714000000001
0.7	0.32643000000000005
0.71	0.3326820000000001
0.72	0.3384128000000002
0.73	0.33644205000000005
0.74	0.3342992000000001
0.75	0.32693125000000006
0.76	0.31963680000000005
0.77	0.30793830000000005
0.78	0.2965284000000001
0.79	0.28376325
0.8	0.27136
0.81	0.2590015
0.82	0.2470104000000001
0.83	0.2374564500000001
0.84	0.2281520000000001
0.85	0.22106250000000005
0.86	0.21411160000000007
0.87	0.20729810000000007
0.88	0.20062080000000007
0.89	0.19533875000000006
0.9	0.19012
0.91	0.18892547829000006
0.92	0.18762157440000007
0.93	0.18620906191000006
0.94	0.18468882432000008
0.95	0.1837605656250001
0.96	0.1827099443200001
0.97	0.1826731456200001
0.98	0.1824842131200001
0.99	0.1839102761600001
1.0	0.18513000000000004
1.01	0.1882844703900001
1.02	0.19115701248000005
1.03	0.19208240703000007
1.04	0.19277330688000008
1.05	0.19102685937500008
1.06	0.18912569472000007
1.07	0.18437926279500005
1.08	0.17959286592000007
1.09	0.17385063192000008
1.1	0.16812000000000005
1.11	0.16205551901000004
1.12	0.15603194880000007
1.13	0.15055692430500012
1.14	0.14510884736000013
1.15	0.1412753906250001
1.16	0.13738963392000011
1.17	0.1344995697100001
1.18	0.1315012608000001
1.19	0.1293775346250001
1.2	0.1270880000000001
1.21	0.12411444415500009
1.22	0.1210208313600001
1.23	0.11696444403000007
1.24	0.11286423360000007
1.25	0.10861416562500006
1.26	0.10434111488000007
1.27	0.09964227487500005
1.28	0.09497014272000005
1.29	0.09033079506500005
1.3	0.08573040000000004
	
