Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Difuse_horiz-circumsolar Global_tilt_reflectd_rad Upward_reflctd_radiation
.4160E+03 .1829E+01 .1104E+01 .3498E+00 .1234E+01 .8845E+00 .3461E+00 .2971E+00 .6432E+00 .3498E+00 .1222E+00 .2322E+00
.4170E+03 .1782E+01 .1080E+01 .3390E+00 .1204E+01 .8648E+00 .3384E+00 .2889E+00 .6274E+00 .3390E+00 .1195E+00 .2271E+00
.4180E+03 .1746E+01 .1062E+01 .3306E+00 .1181E+01 .8508E+00 .3330E+00 .2828E+00 .6158E+00 .3306E+00 .1175E+00 .2235E+00
.4190E+03 .1766E+01 .1078E+01 .3327E+00 .1196E+01 .8637E+00 .3380E+00 .2857E+00 .6237E+00 .3327E+00 .1193E+00 .2270E+00
.4200E+03 .1756E+01 .1076E+01 .3292E+00 .1191E+01 .8618E+00 .3373E+00 .2837E+00 .6210E+00 .3292E+00 .1191E+00 .2266E+00
.4210E+03 .1834E+01 .1128E+01 .3422E+00 .1246E+01 .9035E+00 .3536E+00 .2961E+00 .6497E+00 .3422E+00 .1250E+00 .2378E+00
.4220E+03 .1740E+01 .1074E+01 .3232E+00 .1184E+01 .8605E+00 .3368E+00 .2808E+00 .6176E+00 .3232E+00 .1192E+00 .2268E+00
.4230E+03 .1697E+01 .1052E+01 .3137E+00 .1156E+01 .8423E+00 .3296E+00 .2737E+00 .6033E+00 .3137E+00 .1168E+00 .2223E+00
.4240E+03 .1793E+01 .1115E+01 .3298E+00 .1223E+01 .8930E+00 .3495E+00 .2888E+00 .6383E+00 .3298E+00 .1240E+00 .2359E+00
.4250E+03 .1787E+01 .1115E+01 .3272E+00 .1220E+01 .8931E+00 .3495E+00 .2877E+00 .6373E+00 .3272E+00 .1241E+00 .2363E+00
.4260E+03 .1734E+01 .1087E+01 .3167E+00 .1188E+01 .8710E+00 .3409E+00 .2795E+00 .6204E+00 .3167E+00 .1212E+00 .2308E+00
.4270E+03 .1700E+01 .1069E+01 .3088E+00 .1165E+01 .8564E+00 .3351E+00 .2737E+00 .6088E+00 .3088E+00 .1193E+00 .2272E+00
.4280E+03 .1655E+01 .1044E+01 .2989E+00 .1135E+01 .8360E+00 .3272E+00 .2661E+00 .5932E+00 .2989E+00 .1166E+00 .2220E+00
.4290E+03 .1562E+01 .9899E+00 .2814E+00 .1074E+01 .7929E+00 .3103E+00 .2514E+00 .5617E+00 .2814E+00 .1107E+00 .2109E+00
.4300E+03 .1365E+01 .8677E+00 .2447E+00 .9397E+00 .6950E+00 .2720E+00 .2195E+00 .4915E+00 .2447E+00 .9718E-01 .1851E+00
.4310E+03 .1353E+01 .8622E+00 .2411E+00 .9317E+00 .6906E+00 .2703E+00 .2172E+00 .4875E+00 .2411E+00 .9667E-01 .1842E+00
.4320E+03 .1742E+01 .1115E+01 .3094E+00 .1202E+01 .8929E+00 .3495E+00 .2799E+00 .6293E+00 .3094E+00 .1252E+00 .2385E+00
.4330E+03 .1749E+01 .1123E+01 .3092E+00 .1209E+01 .8994E+00 .3520E+00 .2808E+00 .6328E+00 .3092E+00 .1262E+00 .2406E+00
.4340E+03 .1623E+01 .1045E+01 .2854E+00 .1122E+01 .8369E+00 .3275E+00 .2603E+00 .5878E+00 .2854E+00 .1176E+00 .2241E+00
.4350E+03 .1695E+01 .1094E+01 .2963E+00 .1172E+01 .8759E+00 .3428E+00 .2714E+00 .6142E+00 .2963E+00 .1232E+00 .2349E+00
.4360E+03 .1904E+01 .1234E+01 .3318E+00 .1320E+01 .9881E+00 .3867E+00 .3051E+00 .6918E+00 .3318E+00 .1392E+00 .2654E+00
.4370E+03 .1873E+01 .1218E+01 .3253E+00 .1301E+01 .9757E+00 .3819E+00 .3003E+00 .6821E+00 .3253E+00 .1376E+00 .2625E+00
.4380E+03 .1702E+01 .1111E+01 .2944E+00 .1184E+01 .8897E+00 .3482E+00 .2729E+00 .6211E+00 .2944E+00 .1257E+00 .2397E+00
.4390E+03 .1764E+01 .1152E+01 .3026E+00 .1225E+01 .9227E+00 .3611E+00 .2818E+00 .6429E+00 .3026E+00 .1305E+00 .2489E+00
.4400E+03 .1816E+01 .1190E+01 .3104E+00 .1264E+01 .9534E+00 .3731E+00 .2902E+00 .6633E+00 .3104E+00 .1350E+00 .2575E+00
.4410E+03 .1877E+01 .1235E+01 .3197E+00 .1309E+01 .9893E+00 .3872E+00 .3000E+00 .6872E+00 .3197E+00 .1402E+00 .2674E+00
.4420E+03 .2011E+01 .1326E+01 .3407E+00 .1403E+01 .1062E+01 .4158E+00 .3210E+00 .7367E+00 .3407E+00 .1506E+00 .2874E+00
.4430E+03 .1960E+01 .1294E+01 .3293E+00 .1365E+01 .1036E+01 .4055E+00 .3116E+00 .7171E+00 .3293E+00 .1469E+00 .2805E+00
.4440E+03 .1999E+01 .1324E+01 .3349E+00 .1396E+01 .1061E+01 .4151E+00 .3180E+00 .7331E+00 .3349E+00 .1505E+00 .2874E+00
.4450E+03 .1957E+01 .1298E+01 .3255E+00 .1365E+01 .1040E+01 .4069E+00 .3104E+00 .7173E+00 .3255E+00 .1476E+00 .2819E+00
.4460E+03 .1861E+01 .1240E+01 .3088E+00 .1302E+01 .9930E+00 .3886E+00 .2955E+00 .6841E+00 .3088E+00 .1411E+00 .2695E+00
.4470E+03 .2007E+01 .1342E+01 .3321E+00 .1407E+01 .1075E+01 .4208E+00 .3189E+00 .7397E+00 .3321E+00 .1529E+00 .2921E+00
.4480E+03 .2041E+01 .1367E+01 .3354E+00 .1430E+01 .1095E+01 .4285E+00 .3235E+00 .7519E+00 .3354E+00 .1558E+00 .2976E+00
.4490E+03 .2041E+01 .1373E+01 .3347E+00 .1435E+01 .1100E+01 .4304E+00 .3240E+00 .7544E+00 .3347E+00 .1566E+00 .2993E+00
.4500E+03 .2094E+01 .1413E+01 .3420E+00 .1474E+01 .1132E+01 .4430E+00 .3324E+00 .7754E+00 .3420E+00 .1613E+00 .3083E+00
.4510E+03 .2170E+01 .1468E+01 .3527E+00 .1529E+01 .1176E+01 .4602E+00 .3440E+00 .8043E+00 .3527E+00 .1677E+00 .3205E+00
.4520E+03 .2088E+01 .1417E+01 .3378E+00 .1472E+01 .1135E+01 .4440E+00 .3308E+00 .7748E+00 .3378E+00 .1619E+00 .3095E+00
